transaction_id,date,agency,vendor_id,contract_type,amount,description,currency,is_anomaly
4c238fec,2025-08-13,CPWD (Central Public Works Department),Shapoorji Pallonji Group,Consultancy,2884668.8,Horticulture works for central vista,INR,0
221031e7,2025-01-12,Ministry of Railways,GMR Infrastructure,Lump Sum,8155938.22,Track renewal works for Eastern Zone,INR,0
c78afd33,2025-10-26,Ministry of Defence,Infosys Ltd,Item Rate,565362.41,Maintenance of cantonment roads,INR,0
87ac2b0d,2025-02-18,CPWD (Central Public Works Department),Wipro Government Solutions,EPC (Engineering Procurement Construction),735764.29,Renovation of government quarters,INR,0
137120fd,2025-02-03,Ministry of Health & Family Welfare,Adani Enterprises,Lump Sum,35941023.98,Supply of medical equipment for AIIMS,INR,0
09d71095,2025-04-01,CPWD (Central Public Works Department),Bharat Electronics Ltd,Lump Sum,3404396.61,Electrical maintenance of Nirman Bhawan,INR,0
f910e454,2025-09-09,NHAI (National Highways Authority of India),Hindustan Construction Co,Lump Sum,1520294.81,Construction of 4-lane highway section Package-IV,INR,0
139046a2,2025-03-04,Ministry of Rural Development,Reliance Infrastructure,EPC (Engineering Procurement Construction),765804.39,Road construction under PMGSY,INR,0
eeed9e0e,2025-04-01,Ministry of Defence,Bharat Electronics Ltd,EPC (Engineering Procurement Construction),4304387.62,Maintenance of cantonment roads,INR,0
ec34fd3d,2025-09-18,Ministry of Health & Family Welfare,Patanjali Ayurved,Lump Sum,228492.15,Supply of medical equipment for AIIMS,INR,0
7be22978,2025-02-14,NHAI (National Highways Authority of India),Patanjali Ayurved,Consultancy,1400000.0,Facilitation fee for clearance,INR,1
0fd9c9a3,2025-04-08,Ministry of Rural Development,Reliance Infrastructure,Consultancy,1005065.91,Skill development training program,INR,0
995e83ce,2025-06-28,NHAI (National Highways Authority of India),Patanjali Ayurved,Item Rate,3819327.71,Road safety consultancy services,INR,0
24d974b8,2025-07-17,Ministry of Rural Development,Reliance Infrastructure,Lump Sum,2356848.33,Skill development training program,INR,0
8378f26a,2025-02-21,Ministry of Health & Family Welfare,Shapoorji Pallonji Group,EPC (Engineering Procurement Construction),668126.99,Hospital management works,INR,0
cf94dc45,2025-03-26,Ministry of Health & Family Welfare,Hindustan Construction Co,Item Rate,8258966.52,Procurement of vaccines,INR,0
2027cc47,2025-10-25,CPWD (Central Public Works Department),Hindustan Construction Co,Lump Sum,2221141.9,Electrical maintenance of Shastri Bhawan,INR,0
5114d6b3,2025-04-01,Ministry of Railways,Patanjali Ayurved,Consultancy,4492408.78,Procurement of rolling stock components,INR,0
d22e89a1,2025-06-02,NHAI (National Highways Authority of India),Tata Projects Ltd,Item Rate,334890.7,Toll plaza operation and maintenance,INR,0
9cb34d7d,2025-12-01,Ministry of Rural Development,Hindustan Construction Co,Consultancy,8921919.44,Skill development training program,INR,0
4654a814,2025-12-18,Ministry of Health & Family Welfare,Infosys Ltd,Item Rate,43003436.43,Supply of medical equipment for AIIMS,INR,0
8c403142,2025-11-21,NHAI (National Highways Authority of India),Shapoorji Pallonji Group,Consultancy,650395.19,Toll plaza operation and maintenance,INR,0
9f426760,2025-12-12,Ministry of Railways,Tata Projects Ltd,Lump Sum,245726.85,Procurement of rolling stock components,INR,0
b937822b,2025-01-31,Ministry of Railways,Hindustan Construction Co,Consultancy,857377.8,Signalling modernization for Howrah,INR,0
8a00e7b4,2025-05-27,CPWD (Central Public Works Department),Shapoorji Pallonji Group,Lump Sum,582184.16,Horticulture works for central vista,INR,0
b76097e0,2025-09-01,Ministry of Rural Development,Wipro Government Solutions,Lump Sum,878903.7,Skill development training program,INR,0
6eadcd4d,2025-05-10,Ministry of Defence,Infosys Ltd,Consultancy,223645.12,Procurement of spare parts for vehicles,INR,0
057c39fa,2025-07-26,Ministry of Railways,Rail Vikas Nigam Ltd,Consultancy,1138329.57,Procurement of rolling stock components,INR,0
bb6b1613,2025-10-08,NHAI (National Highways Authority of India),Reliance Infrastructure,Consultancy,500000.0,Urgent supply - Vendor TBD,INR,1
263798b6,2025-12-27,Ministry of Railways,Hindustan Construction Co,EPC (Engineering Procurement Construction),113604.98,Signalling modernization for Howrah,INR,0
e54eb541,2025-03-20,Ministry of Railways,Infosys Ltd,Consultancy,643376.86,Track renewal works for Southern Zone,INR,0
b9163b60,2025-03-07,CPWD (Central Public Works Department),Larsen & Toubro Ltd,Item Rate,3192556.65,Renovation of government quarters,INR,0
2bd867ce,2025-08-14,CPWD (Central Public Works Department),Adani Enterprises,Lump Sum,6368484.09,Renovation of government quarters,INR,0
d9ae28ea,2025-04-19,CPWD (Central Public Works Department),Wipro Government Solutions,Lump Sum,522163.94,Horticulture works for central vista,INR,0
39a0ef3b,2025-09-23,CPWD (Central Public Works Department),Reliance Infrastructure,Item Rate,3153696.76,Renovation of government quarters,INR,0
7f95b6d7,2025-09-08,CPWD (Central Public Works Department),Shapoorji Pallonji Group,Item Rate,11749367.28,Renovation of government quarters,INR,0
63b58ecf,2025-01-10,NHAI (National Highways Authority of India),Infosys Ltd,Item Rate,15718.41,Road safety consultancy services,INR,0
972ee85e,2025-02-11,Ministry of Health & Family Welfare,Wipro Government Solutions,Consultancy,2730173.83,Hospital management works,INR,0
1ee0aa08,2025-04-20,Ministry of Railways,Bharat Electronics Ltd,EPC (Engineering Procurement Construction),472836.02,Signalling modernization for Howrah,INR,0
dcf37528,2025-06-04,Ministry of Railways,Hindustan Construction Co,EPC (Engineering Procurement Construction),1017783.33,Signalling modernization for Howrah,INR,0
c1d0bda2,2025-09-08,NHAI (National Highways Authority of India),Wipro Government Solutions,Lump Sum,2459069.37,Construction of 4-lane highway section Package-IV,INR,0
75de7468,2025-05-31,Ministry of Health & Family Welfare,Tata Projects Ltd,Lump Sum,111302.94,Hospital management works,INR,0
3896636b,2025-07-10,CPWD (Central Public Works Department),Hindustan Construction Co,Item Rate,527667.07,Renovation of government quarters,INR,0
40250b14,2026-01-06,CPWD (Central Public Works Department),Patanjali Ayurved,Consultancy,66237630.73,Renovation of government quarters,INR,0
4edf5a6c,2025-08-31,NHAI (National Highways Authority of India),Reliance Infrastructure,EPC (Engineering Procurement Construction),198043841.8,Ghost material entry for site #99,INR,1
34e6d0f0,2025-12-23,CPWD (Central Public Works Department),Tata Projects Ltd,Consultancy,758276.79,Horticulture works for central vista,INR,0
eb7b1787,2025-06-27,Ministry of Defence,Reliance Infrastructure,Lump Sum,1481868.47,Procurement of spare parts for vehicles,INR,0
e56d3eec,2025-06-11,CPWD (Central Public Works Department),Shapoorji Pallonji Group,EPC (Engineering Procurement Construction),341301.45,Electrical maintenance of Shastri Bhawan,INR,0
2de94a28,2025-06-02,NHAI (National Highways Authority of India),Tata Projects Ltd,Lump Sum,2783459.21,Toll plaza operation and maintenance,INR,0
2d514b2e,2025-07-02,Ministry of Rural Development,Rail Vikas Nigam Ltd,Item Rate,2135591.96,Road construction under PMGSY,INR,0
4857b5ec,2025-07-14,Ministry of Defence,Larsen & Toubro Ltd,Lump Sum,31565.9,Supply of high-altitude clothing,INR,0
707b3e81,2025-04-21,Ministry of Railways,GMR Infrastructure,Consultancy,233252.15,Procurement of rolling stock components,INR,0
82582092,2025-03-31,NHAI (National Highways Authority of India),Patanjali Ayurved,Consultancy,89910.93,Road safety consultancy services,INR,0
6e7a97ce,2025-10-23,Ministry of Rural Development,Adani Enterprises,Lump Sum,2718501.42,Skill development training program,INR,0
7458f0c3,2025-07-09,CPWD (Central Public Works Department),Hindustan Construction Co,EPC (Engineering Procurement Construction),259221.88,Horticulture works for central vista,INR,0
4e4470a0,2025-03-22,Ministry of Railways,Tata Projects Ltd,Lump Sum,4796759.03,Track renewal works for Western Zone,INR,0
787b204b,2025-09-15,Ministry of Defence,Rail Vikas Nigam Ltd,Item Rate,4303889.94,Procurement of spare parts for vehicles,INR,0
74e38fd2,2025-02-25,NHAI (National Highways Authority of India),Reliance Infrastructure,Consultancy,1779760.1,Toll plaza operation and maintenance,INR,0
51ed41b0,2025-03-18,Ministry of Railways,GMR Infrastructure,Item Rate,1426642.69,Signalling modernization for Howrah,INR,0
43dc0609,2025-01-14,Ministry of Railways,Patanjali Ayurved,EPC (Engineering Procurement Construction),937674.14,Procurement of rolling stock components,INR,0
dd4b17d9,2025-08-20,Ministry of Defence,Infosys Ltd,Item Rate,507808.01,Maintenance of cantonment roads,INR,0
75380514,2025-07-02,CPWD (Central Public Works Department),Patanjali Ayurved,Lump Sum,7000408.38,Renovation of government quarters,INR,0
1aa119c3,2025-05-17,Ministry of Rural Development,Larsen & Toubro Ltd,Consultancy,3900000.0,Facilitation fee for clearance,INR,1
1986c78d,2025-04-19,CPWD (Central Public Works Department),Shapoorji Pallonji Group,Item Rate,128239.01,Horticulture works for central vista,INR,0
1aff4d86,2025-09-06,Ministry of Defence,Larsen & Toubro Ltd,EPC (Engineering Procurement Construction),97122.82,Supply of high-altitude clothing,INR,0
0688f737,2025-02-17,Ministry of Railways,Adani Enterprises,Item Rate,472367.03,Procurement of rolling stock components,INR,0
6eaadb04,2025-04-08,Ministry of Defence,GMR Infrastructure,Lump Sum,1494334.31,Supply of high-altitude clothing,INR,0
d36d31d4,2025-02-09,Ministry of Defence,Hindustan Construction Co,Lump Sum,3033998.63,Maintenance of cantonment roads,INR,0
56af2158,2025-02-15,Ministry of Health & Family Welfare,Rail Vikas Nigam Ltd,EPC (Engineering Procurement Construction),177941.65,Hospital management works,INR,0
cf3e80f1,2025-11-10,Ministry of Railways,Reliance Infrastructure,Consultancy,192704.73,Signalling modernization for Howrah,INR,0
45363e7f,2025-09-05,Ministry of Rural Development,Bharat Electronics Ltd,Lump Sum,1981590.88,Road construction under PMGSY,INR,0
188b84e3,2025-01-12,Ministry of Defence,Larsen & Toubro Ltd,Consultancy,33404.14,Supply of high-altitude clothing,INR,0
c0e2ca59,2025-02-27,NHAI (National Highways Authority of India),Infosys Ltd,Item Rate,76009.34,Road safety consultancy services,INR,0
423de913,2025-01-12,Ministry of Health & Family Welfare,Larsen & Toubro Ltd,Lump Sum,2793368.23,Hospital management works,INR,0
5b499396,2025-06-23,Ministry of Railways,Rail Vikas Nigam Ltd,EPC (Engineering Procurement Construction),2175325.38,Signalling modernization for New Delhi,INR,0
519bc90f,2025-03-10,Ministry of Defence,Tata Projects Ltd,Lump Sum,1200000.0,Urgent supply - Vendor TBD,INR,1
66887161,2025-03-01,Ministry of Defence,Larsen & Toubro Ltd,EPC (Engineering Procurement Construction),1058441.25,Maintenance of cantonment roads,INR,0
d8dcdc32,2025-02-08,CPWD (Central Public Works Department),Wipro Government Solutions,Item Rate,1122452.88,Electrical maintenance of Nirman Bhawan,INR,0
b8391c19,2025-02-26,CPWD (Central Public Works Department),Hindustan Construction Co,Consultancy,1093946.62,Horticulture works for central vista,INR,0
683af90e,2025-09-10,Ministry of Health & Family Welfare,Shapoorji Pallonji Group,Lump Sum,382355.38,Hospital management works,INR,0
16f9a799,2025-10-19,NHAI (National Highways Authority of India),Patanjali Ayurved,Lump Sum,1219944.91,Construction of 4-lane highway section Package-IV,INR,0
731d3268,2025-02-07,Ministry of Railways,GMR Infrastructure,Lump Sum,86698.12,Signalling modernization for New Delhi,INR,0
597ddf4a,2025-09-22,CPWD (Central Public Works Department),Hindustan Construction Co,Consultancy,1837796.85,Horticulture works for central vista,INR,0
f19fae6f,2025-12-28,Ministry of Railways,Reliance Infrastructure,Lump Sum,622286.34,Signalling modernization for Howrah,INR,0
841e40d3,2025-11-18,Ministry of Rural Development,GMR Infrastructure,Consultancy,5453666.36,Water conservation project,INR,0
093915b6,2025-10-14,Ministry of Health & Family Welfare,Adani Enterprises,Lump Sum,206879.38,Procurement of vaccines,INR,0
ec9c5a01,2025-07-27,Ministry of Rural Development,Bharat Electronics Ltd,Lump Sum,163222.02,Road construction under PMGSY,INR,0
a91bc57d,2025-11-03,Ministry of Defence,Adani Enterprises,EPC (Engineering Procurement Construction),2403626.24,Procurement of spare parts for vehicles,INR,0
45fe6567,2025-10-06,Ministry of Health & Family Welfare,Hindustan Construction Co,Lump Sum,34640.5,Procurement of vaccines,INR,0
c6fbe96d,2025-01-10,NHAI (National Highways Authority of India),Rail Vikas Nigam Ltd,Consultancy,7605381.34,Toll plaza operation and maintenance,INR,0
a0566ba3,2025-12-19,CPWD (Central Public Works Department),Reliance Infrastructure,Consultancy,1338663.22,Electrical maintenance of Parliament Annexe,INR,0
7ee3c33d,2025-07-01,Ministry of Rural Development,Tata Projects Ltd,Lump Sum,553235.85,Road construction under PMGSY,INR,0
ca1384ea,2025-11-04,CPWD (Central Public Works Department),Larsen & Toubro Ltd,Lump Sum,7484822.71,Renovation of government quarters,INR,0
e939d01c,2025-06-21,Ministry of Defence,Reliance Infrastructure,Consultancy,1975608.67,Maintenance of cantonment roads,INR,0
c944960a,2025-03-26,CPWD (Central Public Works Department),Bharat Electronics Ltd,Consultancy,9467801.27,Electrical maintenance of Nirman Bhawan,INR,0
31982efc,2025-11-16,Ministry of Railways,Tata Projects Ltd,Lump Sum,83176.1,Procurement of rolling stock components,INR,0
8b274d74,2025-01-13,Ministry of Defence,Patanjali Ayurved,EPC (Engineering Procurement Construction),15525781.57,Supply of high-altitude clothing,INR,0
911c807d,2025-08-31,Ministry of Railways,Infosys Ltd,Item Rate,1987701.29,Track renewal works for Western Zone,INR,0
35b5af2e,2025-12-12,NHAI (National Highways Authority of India),Shapoorji Pallonji Group,Lump Sum,931594.35,Toll plaza operation and maintenance,INR,0
fed4b252,2025-05-24,CPWD (Central Public Works Department),Wipro Government Solutions,Item Rate,2608727.55,Renovation of government quarters,INR,0
c381fc9e,2025-11-29,Ministry of Railways,Rail Vikas Nigam Ltd,EPC (Engineering Procurement Construction),1618665.79,Track renewal works for Eastern Zone,INR,0
b5b89ec8,2025-05-28,Ministry of Railways,Tata Projects Ltd,EPC (Engineering Procurement Construction),940195.4,Procurement of rolling stock components,INR,0
a0054c08,2025-11-27,CPWD (Central Public Works Department),Shapoorji Pallonji Group,Item Rate,455426.32,Renovation of government quarters,INR,0
4f3eba70,2025-07-10,NHAI (National Highways Authority of India),Reliance Infrastructure,EPC (Engineering Procurement Construction),561331.27,Construction of 4-lane highway section km 10-50,INR,0
a21103bf,2025-03-03,Ministry of Health & Family Welfare,Patanjali Ayurved,Item Rate,482123.76,Supply of medical equipment for AIIMS,INR,0
75f4ceda,2025-08-15,NHAI (National Highways Authority of India),Adani Enterprises,EPC (Engineering Procurement Construction),2014383.21,Toll plaza operation and maintenance,INR,0
9ac4ef5c,2025-10-17,NHAI (National Highways Authority of India),Reliance Infrastructure,Lump Sum,8540188.73,Toll plaza operation and maintenance,INR,0
9aaa759e,2025-12-25,CPWD (Central Public Works Department),GMR Infrastructure,Item Rate,3305664.8,Horticulture works for central vista,INR,0
cfcf5635,2025-10-31,Ministry of Rural Development,Tata Projects Ltd,EPC (Engineering Procurement Construction),132857.45,Water conservation project,INR,0
6b5833f9,2025-08-07,Ministry of Defence,Larsen & Toubro Ltd,Item Rate,1031018.3,Maintenance of cantonment roads,INR,0
e634cb47,2025-12-06,Ministry of Health & Family Welfare,Hindustan Construction Co,Item Rate,46341913.47,Procurement of vaccines,INR,0
2be23b2c,2025-01-14,Ministry of Rural Development,Larsen & Toubro Ltd,Lump Sum,353903.69,Water conservation project,INR,0
77ce6696,2025-03-22,Ministry of Health & Family Welfare,GMR Infrastructure,Lump Sum,3040014.69,Hospital management works,INR,0
fd8d0616,2025-08-17,Ministry of Health & Family Welfare,Tata Projects Ltd,Item Rate,1413551.64,Supply of medical equipment for AIIMS,INR,0
b7f7dc98,2025-09-14,Ministry of Defence,Infosys Ltd,Consultancy,3077636.73,Supply of high-altitude clothing,INR,0
ce2f6470,2025-08-07,NHAI (National Highways Authority of India),Adani Enterprises,EPC (Engineering Procurement Construction),369900.03,Toll plaza operation and maintenance,INR,0
9892244f,2025-01-12,Ministry of Health & Family Welfare,Hindustan Construction Co,Item Rate,793936.88,Hospital management works,INR,0
93943a91,2025-02-20,NHAI (National Highways Authority of India),Infosys Ltd,EPC (Engineering Procurement Construction),1190441.12,Road safety consultancy services,INR,0
2b53e9fc,2025-12-07,CPWD (Central Public Works Department),Shapoorji Pallonji Group,Consultancy,659463.72,Horticulture works for central vista,INR,0
bc45cbd9,2025-02-26,NHAI (National Highways Authority of India),Larsen & Toubro Ltd,Consultancy,311051.31,Road safety consultancy services,INR,0
96f04c07,2025-03-16,Ministry of Defence,Wipro Government Solutions,Consultancy,2455745.94,Maintenance of cantonment roads,INR,0
7198f3eb,2025-04-12,CPWD (Central Public Works Department),GMR Infrastructure,Item Rate,291326.85,Horticulture works for central vista,INR,0
e029c5f6,2025-04-20,Ministry of Rural Development,Wipro Government Solutions,EPC (Engineering Procurement Construction),5408609.36,Road construction under PMGSY,INR,0
6c3f5322,2025-06-28,Ministry of Rural Development,Wipro Government Solutions,Consultancy,55774962.21,Facilitation fee for clearance,INR,1
01a45f40,2025-05-21,Ministry of Health & Family Welfare,Hindustan Construction Co,EPC (Engineering Procurement Construction),536662.88,Hospital management works,INR,0
4cbc3d0e,2025-05-17,Ministry of Defence,Shapoorji Pallonji Group,Item Rate,149205.52,Procurement of spare parts for vehicles,INR,0
6e92daf5,2025-11-15,NHAI (National Highways Authority of India),Reliance Infrastructure,EPC (Engineering Procurement Construction),2497148.03,Toll plaza operation and maintenance,INR,0
b7fdb8a2,2025-11-22,CPWD (Central Public Works Department),Hindustan Construction Co,Lump Sum,803031.03,Renovation of government quarters,INR,0
bd3cfccb,2025-01-31,Ministry of Rural Development,Shapoorji Pallonji Group,Consultancy,245517.97,Water conservation project,INR,0
2017cad0,2025-10-25,Ministry of Railways,Shapoorji Pallonji Group,Consultancy,6486659.07,Procurement of rolling stock components,INR,0
d36974f1,2025-10-29,Ministry of Rural Development,Shapoorji Pallonji Group,EPC (Engineering Procurement Construction),3909075.93,Skill development training program,INR,0
0e4e761d,2025-08-18,Ministry of Health & Family Welfare,Patanjali Ayurved,Item Rate,16943218.91,Supply of medical equipment for AIIMS,INR,0
3be85a6b,2025-12-25,NHAI (National Highways Authority of India),Shapoorji Pallonji Group,EPC (Engineering Procurement Construction),82238.66,Road safety consultancy services,INR,0
c6885a56,2025-12-10,CPWD (Central Public Works Department),Bharat Electronics Ltd,Lump Sum,153573.1,Horticulture works for central vista,INR,0
8eb61b9e,2025-12-02,Ministry of Railways,Tata Projects Ltd,Item Rate,76053.47,Track renewal works for Northern Zone,INR,0
cc7ecd3a,2025-08-11,Ministry of Rural Development,Larsen & Toubro Ltd,Item Rate,1166852.91,Skill development training program,INR,0
843bd88e,2025-08-20,Ministry of Defence,Tata Projects Ltd,Lump Sum,1500000.0,Urgent supply - Vendor TBD,INR,1
679faf8d,2025-05-07,NHAI (National Highways Authority of India),Shapoorji Pallonji Group,Item Rate,1152615.07,Toll plaza operation and maintenance,INR,0
9fa4a452,2025-10-02,Ministry of Defence,Patanjali Ayurved,Item Rate,248635.09,Maintenance of cantonment roads,INR,0
e0fdc719,2025-08-09,Ministry of Defence,Bharat Electronics Ltd,Lump Sum,447915.14,Maintenance of cantonment roads,INR,0
98b37fb1,2025-04-26,CPWD (Central Public Works Department),Larsen & Toubro Ltd,Consultancy,406508.45,Horticulture works for central vista,INR,0
2910b3c2,2025-09-01,Ministry of Railways,Infosys Ltd,EPC (Engineering Procurement Construction),313162.26,Procurement of rolling stock components,INR,0
ff0599bc,2025-01-29,Ministry of Railways,Bharat Electronics Ltd,EPC (Engineering Procurement Construction),1136772.94,Procurement of rolling stock components,INR,0
6d6ccc70,2025-07-30,Ministry of Railways,Infosys Ltd,EPC (Engineering Procurement Construction),1216744.81,Signalling modernization for Howrah,INR,0
9ed39a38,2025-02-07,Ministry of Defence,Bharat Electronics Ltd,Item Rate,116951.21,Maintenance of cantonment roads,INR,0
a0761ddf,2025-12-12,Ministry of Railways,Wipro Government Solutions,EPC (Engineering Procurement Construction),4893056.07,Signalling modernization for Chennai Central,INR,0
bb91abdf,2025-10-21,Ministry of Railways,Bharat Electronics Ltd,Item Rate,11490385.77,Procurement of rolling stock components,INR,0
22399c15,2025-03-24,CPWD (Central Public Works Department),Patanjali Ayurved,Lump Sum,3066166.47,Electrical maintenance of Shastri Bhawan,INR,0
7536fc57,2025-02-06,Ministry of Railways,Infosys Ltd,Lump Sum,1022679.72,Track renewal works for Eastern Zone,INR,0
d151de89,2025-08-07,Ministry of Rural Development,Tata Projects Ltd,EPC (Engineering Procurement Construction),814839.37,Skill development training program,INR,0
7fa322ba,2025-03-21,CPWD (Central Public Works Department),Shapoorji Pallonji Group,Item Rate,158932.37,Horticulture works for central vista,INR,0
6f153a20,2025-02-19,NHAI (National Highways Authority of India),Patanjali Ayurved,Consultancy,388575.88,Construction of 4-lane highway section km 10-50,INR,0
4815d844,2025-08-17,Ministry of Railways,Hindustan Construction Co,Consultancy,7465669.49,Signalling modernization for New Delhi,INR,0
ab2ffe59,2025-08-17,NHAI (National Highways Authority of India),Bharat Electronics Ltd,Lump Sum,4449559.4,Toll plaza operation and maintenance,INR,0
29ace874,2025-12-12,CPWD (Central Public Works Department),Shapoorji Pallonji Group,Item Rate,15406370.46,Renovation of government quarters,INR,0
125c2fe9,2025-10-30,Ministry of Railways,Shapoorji Pallonji Group,Item Rate,1946542.0,Procurement of rolling stock components,INR,0
511a0832,2025-02-10,Ministry of Railways,Tata Projects Ltd,Item Rate,1835556.87,Procurement of rolling stock components,INR,0
067daaf4,2025-04-07,CPWD (Central Public Works Department),Rail Vikas Nigam Ltd,Consultancy,7950656.95,Electrical maintenance of Nirman Bhawan,INR,0
493b8f26,2025-08-27,Ministry of Rural Development,Rail Vikas Nigam Ltd,Lump Sum,781771.76,Water conservation project,INR,0
28dc9401,2025-01-16,Ministry of Health & Family Welfare,Patanjali Ayurved,Consultancy,1244652.89,Supply of medical equipment for AIIMS,INR,0
5c90a73c,2025-08-21,Ministry of Defence,Adani Enterprises,EPC (Engineering Procurement Construction),365840.89,Maintenance of cantonment roads,INR,0
a0b397af,2025-12-22,Ministry of Defence,GMR Infrastructure,Item Rate,2003090.68,Maintenance of cantonment roads,INR,0
b8672b0e,2025-02-04,Ministry of Defence,GMR Infrastructure,EPC (Engineering Procurement Construction),3580534.35,Maintenance of cantonment roads,INR,0
b9a40051,2025-03-08,CPWD (Central Public Works Department),Bharat Electronics Ltd,Consultancy,2951953.63,Horticulture works for central vista,INR,0
735f001d,2025-10-15,Ministry of Defence,Infosys Ltd,Consultancy,642804.72,Maintenance of cantonment roads,INR,0
e7509a54,2025-06-19,Ministry of Railways,Bharat Electronics Ltd,EPC (Engineering Procurement Construction),12536779.02,Signalling modernization for New Delhi,INR,0
e9ef33f4,2025-07-27,Ministry of Railways,Rail Vikas Nigam Ltd,EPC (Engineering Procurement Construction),11276171.07,Procurement of rolling stock components,INR,0
c8395bf9,2025-08-19,NHAI (National Highways Authority of India),Hindustan Construction Co,Consultancy,4187432.92,Road safety consultancy services,INR,0
3f3f1594,2025-07-31,Ministry of Defence,Infosys Ltd,EPC (Engineering Procurement Construction),136242.07,Procurement of spare parts for vehicles,INR,0
